        TIME,    TIDE,      OB,   SURGE,    BIAS,     TWL,SURGE90p,  TWL90p,SURGE10p,   TWL10p
202606290600,   0.619,   1.489,   0.700,   0.170,   1.489,   0.600,   1.389,   0.700,   1.489
202606290606,   0.598,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202606290612,   0.580,   1.380,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202606290618,   0.567,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202606290624,   0.559,   1.269,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202606290630,   0.555,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202606290636,   0.555,   1.210,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202606290642,   0.559,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202606290648,   0.568,   1.128,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202606290654,   0.582,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202606290700,   0.599,   1.138,   0.700,  -0.161,   1.138,   0.600,   1.038,   0.700,   1.138
202606290706,   0.621,   1.108,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202606290712,   0.647,   1.098,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202606290718,   0.677,   1.079,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202606290724,   0.710,   1.088,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202606290730,   0.748,   1.138,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202606290736,   0.788,   1.151,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202606290742,   0.832,   1.151,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202606290748,   0.879,   1.161,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202606290754,   0.929,   1.239,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
